AGNO;DEN_ID;DEN_CANAL;DEN_ESTADO;DEN_FEC_CREACION;DEN_MES_CREACION;DEN_TRIMESTRE_CREACION;DEN_FEC_TERMINO_DENUNCIA;DEN_OFICINA;DEN_DEPARTAMENTO;DEN_AMBITO;DEN_TEMA;DEN_SUBTEMA;DEN_MRUN;DEN_AFECTADO;DEN_SEXO;DEN_TIPO;AFEC_MRUN;RBD;EE_NOMBRE;EE_COD_REGION;EE_COD_PROVINCIA;EE_COD_COMUNA;EE_NOM_COMUNA;EE_COD_DEPE;EE_DEPE_AGRUP;AFEC_COD_ENSE2;DEN_REGION
2014;CAS-10022-L7D6K4;1;1;20140102;1;1;20140108;2;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE;20624510;0;2; ;20668059;283;LICEO TECNICO DE ANTOFAGASTA;2;21;2101;ANTOFAGASTA;1;1;7;2
2014;CAS-10023-Z9J6W7;1;1;20140102;1;1;20140113;2;1;CONVIVENCIA;SITUACIONES DE CONNOTACIÓN SEXUAL;SITUACIONES DE CONNOTACIÓN SEXUAL DE ADULTO A PÁRVULOS Y/O ESTUDIANTES;855218;0;2; ;6156204;366;HRVATSKA SKOLA S. ESTEBAN (EX-J. SKOLA);2;21;2101;ANTOFAGASTA;4;4;5;2
2014;CAS-10025-B1L7H2;1;1;20140102;1;1;20140113;2;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE;19351296;0;2;APODERADO/A;14614576;12848;LICEO EXPERIMENTAL ARTISTICO Y APLICACIO;2;21;2101;ANTOFAGASTA;3;3;5;2
2014;CAS-10026-V6K4S2;1;1;20140102;1;1;20140102;9;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE;12613077;0;2;PADRE/MADRE/TUTOR;3359885;5315;COLEGIO PARTIC. WOLFGANG AMADEUS MOZART;9;92;9202;COLLIPULLI;3;3;2;9
2014;CAS-10029-Q9D2Q6;1;1;20140102;1;1;20140102;9;1;CONVIVENCIA;DISCRIMINACIÓN;DISCRIMINACIÓN POR NECESIDADES EDUCATIVAS ESPECIALES PERMANENTES Y/O TRANSITORIAS (TDA, DISCAPACIDAD FÍSICA Y/O INTELECTUAL, U OTRAS);12613077;0;2;PADRE/MADRE/TUTOR;24807779;5315;COLEGIO PARTIC. WOLFGANG AMADEUS MOZART;9;92;9202;COLLIPULLI;3;3;2;9
2014;CAS-10032-W6J5W5;1;1;20140102;1;1;20140227;8;1;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO ENTRE ESTUDIANTES (EXCLUYE AL NIVEL PARVULARIO);6508860;0;2;APODERADO/A;14177122;3723;COLEGIO DARIO SALAS;8;84;8401;CHILLÁN;3;3;5;8
2014;CAS-10034-V5L5K6;1;1;20140102;1;1;20140102;9;1;CONVIVENCIA;DISCRIMINACIÓN;DISCRIMINACIÓN POR NECESIDADES EDUCATIVAS ESPECIALES PERMANENTES Y/O TRANSITORIAS (TDA, DISCAPACIDAD FÍSICA Y/O INTELECTUAL, U OTRAS);21534142;0;2;PADRE/MADRE/TUTOR;20916015;20016;COLEGIO DE APLICACION;9;91;9101;TEMUCO;3;3;2;9
2014;CAS-10036-C4T6B4;1;1;20140102;1;1;20140113;2;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE;15613863;1;2; ;15613863;12848;LICEO EXPERIMENTAL ARTISTICO Y APLICACIO;2;21;2101;ANTOFAGASTA;3;3;5;2
2014;CAS-10037-J7S8H7;1;1;20140102;1;1;20151111;13;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE;14275897;0;1; ;4915403;26083;COLEGIO SAN ALBERTO HURTADO;13;131;13125;QUILICURA;3;3;2;13
2014;CAS-10039-V3V8T5;1;1;20140102;1;1;20140130;5;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE;23722181;0;2;APODERADO/A;18004134;14825;NUEVO COLEGIO PART. DE CARTAGENA;5;56;5603;CARTAGENA;3;3;5;5
2014;CAS-10041-F3T5M7;1;1;20140102;1;1;20140110;9;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE;11347659;0;1;PADRE/MADRE/TUTOR;4933254;5569;LICEO GABRIELA MISTRAL DE TEMUCO;9;91;9101;TEMUCO;2;1;5;9
2014;CAS-10042-Q3M7L5;1;1;20140102;1;1;20140317;2;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;EXPULSIÓN DE PÁRVULO Y/O ESTUDIANTE;15282512;0;2; ;5398111;284;LICEO DE HOMBRES DE ANTOFAGASTA MARIO BAHAMONDE SILVA;2;21;2101;ANTOFAGASTA;1;1;2;2
2014;CAS-10043-Q6C7Q5;1;1;20140102;1;1;20140218;8;1;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO DE ADULTO A PÁRVULO Y/O ESTUDIANTE;5461516;0;2;APODERADO/A;5461516; ;OTRO; ; ; ; ;99;9;7;8
2014;CAS-10044-C8Q2Y0;1;1;20140102;1;1;20140106;5;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE;6884976;0;2;APODERADO/A;4842936;1362;ESCUELA AGRICOLA SALESIANA F. HUIDOBRO;5;57;5702;CATEMU;3;3;5;5
2014;CAS-10045-T4T5X9;1;1;20140102;1;1;20140217;6;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE;3906766;0;1;ESTUDIANTE;3906766; ;OTRO; ; ; ; ;99;9;7;6
2014;CAS-10046-S1P5F0;1;1;20140102;1;1;20140102;9;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE;9309136;0;2;PADRE/MADRE/TUTOR;22192168;5613;COMPLEJO EDUCACIONAL LA GRANJA;9;91;9119;VILCÚN;2;1;2;9
2014;CAS-10049-B2J6Y9;1;1;20140102;1;1;20140102;9;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE;2014396;0;2;PADRE/MADRE/TUTOR;22225526;19983;ESCUELA BASICA PARTICULAR EMPRENDER;9;91;9101;TEMUCO;3;3;5;9
2014;CAS-10051-X4F6Y1;1;1;20140102;1;1;20140311;13;1;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO DE ADULTO A PÁRVULO Y/O ESTUDIANTE;14864405;0;2;PADRE/MADRE/TUTOR;21038212;8627;COLEGIO SANTA MARIA DE SANTIAGO;13;131;13101;SANTIAGO;3;3;2;13
2014;CAS-10052-L5L3P2;1;1;20140102;1;1;20140306;1;2;GESTIÓN TÉCNICO-PEDAGÓGICA;JORNADA EDUCATIVA (HORAS DE CLASES O ACTIVIDADES Y HORAS NO LECTIVAS);INCUMPLIMIENTO DE HORAS DE CLASES O ACTIVIDADES;12360252;0;2;PADRE/MADRE/TUTOR;7363246;12538;ESCUELA CHIPANA;1;11;1101;IQUIQUE;1;1;2;1
