AGNO;DEN_ID;DEN_CANAL;DEN_ESTADO;DEN_FEC_CREACION;DEN_MES_CREACION;DEN_TRIMESTRE_CREACION;DEN_FEC_TERMINO_DENUNCIA;DEN_OFICINA;DEN_DEPARTAMENTO;DEN_AMBITO;DEN_TEMA;DEN_SUBTEMA;DEN_MRUN;DEN_AFECTADO;DEN_SEXO;DEN_TIPO;AFEC_MRUN;AFEC_SEXO;RBD;EE_NOMBRE;EE_COD_REGION;EE_COD_PROVINCIA;EE_COD_COMUNA;EE_NOM_COMUNA;EE_COD_DEPE;EE_DEPE_AGRUP;AFEC_COD_ENSE2;DEN_REGION
2015;CAS-30764-Z6H0J6;2;1;20150101;1;1;20150108;8;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE;9248370;1;1;APODERADO/A;9248370;0;4588;COLEGIO JUAN GREGORIO LAS HERAS;8;81;8101;CONCEPCIÓN;2;1;5;8
2015;CAS-30766-K7Z9R0;2;1;20150101;1;1;20150114;5;1;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO DE ADULTO A PÁRVULO Y/O ESTUDIANTE;15752030;0;2;ESTUDIANTE;1664113;0;1919;COLEGIO H. F. CAMILO HENRIQUEZ;5;58;5801;QUILPUÉ;3;3;5;5
2015;CAS-30767-R2Q9P0;2;1;20150101;1;1;20150107;5;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE;11325168;0;2;ESTUDIANTE;914879;0;2007;COLEGIO PARTIC. JULIO MONTT SALAMANCA;5;51;5102;CASABLANCA;3;3;2;5
2015;CAS-30768-D9Y4P2;2;1;20150102;1;1;20150102;0;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE;2671191;1;2;PADRE/MADRE/TUTOR;2671191;0;25282;COLEGIO POLIV. CARDENAL RAUL SILVA HENRIQUEZ;13;132;13201;PUENTE ALTO;3;3;7;13
2015;CAS-30769-P6W7F4;1;1;20150102;1;1;20150318;1;1;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO DE ADULTO A PÁRVULO Y/O ESTUDIANTE;4392285;0;2;PADRE/MADRE/TUTOR;23655384;0;133;COLEGIO ADVENTISTA DE IQUIQUE;1;11;1101;IQUIQUE;3;3;2;1
2015;CAS-30770-T0R0L7;1;1;20150102;1;1;20150202;1;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE;15138769;0;2;PADRE/MADRE/TUTOR;12218654;0;132;LICEO ACADEMIA IQUIQUE;1;11;1101;IQUIQUE;3;3;5;1
2015;CAS-30771-P0R4H5;1;1;20150102;1;1;20150202;1;1;CONVIVENCIA;RETENCIÓN DE DOCUMENTOS;RETENCIÓN DE DOCUMENTOS POR DEUDA;21337973;0;2;ESTUDIANTE;21337973;0;12631;COLEGIO INGLES;1;11;1101;IQUIQUE;3;3;7;1
2015;CAS-30772-N3Q5D1;1;1;20150102;1;1;20150112;3;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE;20609728;0;2; ;4257396;0;453;ESCUELA IGNACIO CARRERA PINTO;3;33;3301;VALLENAR;2;1;2;3
2015;CAS-30773-M9F6M7;1;1;20150102;1;1;20150318;1;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE;6905053;0;2;PADRE/MADRE/TUTOR;11212529;0;132;LICEO ACADEMIA IQUIQUE;1;11;1101;IQUIQUE;3;3;5;1
2015;CAS-30774-G0N6J8;1;1;20150102;1;1;20150514;13;2;INFRAESTRUCTURA;LOCAL O INFRAESTRUCTURA DEL ESTABLECIMIENTO EDUCACIONAL;FALTA O DEFICIENCIAS EN LA INFRAESTRUCTURA DEL ESTABLECIMIENTO;15332354;1;2; ;15332354;0;25050;COLEGIO PARTICULAR SAN MATEO;13;132;13201;PUENTE ALTO;3;3;5;13
2015;CAS-30775-Z2S0G3;1;1;20150102;1;1;20150109;1;1;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO DE ADULTO A PÁRVULO Y/O ESTUDIANTE;3990324;0;2;PADRE/MADRE/TUTOR;15494195;0;12757;JARDIN INFANTIL SAMCA ARUMANTI DE IQUIQUE;1;11;1101;IQUIQUE;3;3;1;1
2015;CAS-30777-T0D4M8;1;1;20150102;1;1;20150310;15;1;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO DE ADULTO A PÁRVULO Y/O ESTUDIANTE;15989064;0;2;APODERADO/A;9293009;0;67;ABRAHAM LINCOLN SCHOOL;15;151;15101;ARICA;3;3;1;15
2015;CAS-30778-F9F1H5;1;1;20150102;1;1;20150324;1;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE;12333965;0;2;APODERADO/A;24741077;0;12650;L.POLIV. SAGRADO CORAZON DE HOSPICIO;1;11;1107;ALTO HOSPICIO;3;3;5;1
