AGNO;DEN_ID;DEN_CANAL;DEN_ESTADO;DEN_FEC_CREACION;DEN_MES_CREACION;DEN_TRIMESTRE_CREACION;DEN_FEC_TERMINO_DENUNCIA;DEN_OFICINA;DEN_DEPARTAMENTO;DEN_AMBITO;DEN_TEMA;DEN_SUBTEMA;FIS_ID;FIS_ID_SEGUIMIENTO;PA_ID;DEN_MRUN;DEN_AFECTADO;DEN_SEXO;DEN_TIPO;AFEC_MRUN;AFEC_SEXO;RBD;EE_NOMBRE;EE_COD_REGION;EE_COD_PROVINCIA;EE_COD_COMUNA;EE_NOM_COMUNA;EE_COD_DEPE;EE_DEPE_AGRUP;AFEC_COD_ENSE2;DEN_REGION;DEN_CIBERBULLYING
2016;CAS-50570-L5N4S7;2;1;20160102;1;1;20160208;8;1;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO ENTRE ESTUDIANTES (EXCLUYE AL NIVEL PARVULARIO); ; ; ;21050874;0;1;ESTUDIANTE;24296237;2;18220;COLEGIO NUEVA ESPERANZA;8;84;8421;YUNGAY;3;3;2;8;0
2016;CAS-50573-V2D2C0;2;1;20160102;1;1;20160317;7;1;CONVIVENCIA;MALTRATO A MIEMBROS ADULTOS DE LA COMUNIDAD EDUCATIVA;MALTRATO DE ESTUDIANTE HACIA PERSONAL DEL ESTABLECIMIENTO (DOCENTES, EDUCADORES, OTRO); ; ; ;519293;1;2;DOCENTE;519293;2;16549;COLEGIO PALENCIA SC.;7;73;7301;CURICÓ;3;3;5;7; 
2016;CAS-50574-Q7T1Q7;2;1;20160103;1;1;20160105;13;1;CONVIVENCIA;RETENCIÓN DE DOCUMENTOS;RETENCIÓN DE DOCUMENTOS POR DEUDA; ; ; ;14157681;0;2;APODERADO/A;23325961;2;25795;COLEGIO PARTICULAR BLUMENTHAL;13;136;13601;TALAGANTE;3;3;2;13; 
2016;CAS-50575-N1S0H4;2;1;20160103;1;1;20160104;0;1;CONVIVENCIA;RETENCIÓN DE DOCUMENTOS;RETENCIÓN DE DOCUMENTOS POR OTRAS CAUSALES; ; ; ;21574038;1;1;ESTUDIANTE;21574038;2;10665;ESCUELA ALEMANIA;13;134;13404;PAINE;2;1;2;13; 
2016;CAS-50576-S5Y0F6;2;1;20160103;1;1;20160323;8;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE; ; ; ;22528183;1;2;PADRE/MADRE/TUTOR;22528183;2;31116;COLEGIO TÉCNICO PROFESIONAL PROFESOR ENRIQUE SALINAS BUSCOVICH;8;84;8401;CHILLÁN;3;3;2;8; 
2016;CAS-50580-N6Q7X9;1;1;20160104;1;1;20160630;8;3;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE;160800514; ;160800514;23041505;0;2;APODERADO/A;8885200;1;12062;LICEO MAURICIO HOCHSCHILD;8;81;8108;SAN PEDRO DE LA PAZ;3;3;7;8; 
2016;CAS-50582-T0Y4L7;2;1;20160104;1;1;20160113;10;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;CONDICIONALIDAD DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE; ; ; ;19363686;1;2;APODERADO/A;19363686;2;8105;LICEO BICENTENARIO DE ANCUD;10;102;10202;ANCUD;1;1;5;10; 
2016;CAS-50583-J4D4D1;1;1;20160104;1;1;20160225;13;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE; ; ; ;15297997;0;2;PADRE/MADRE/TUTOR;23003436;1;10618;INSTITUTO SAN PABLO MISIONERO;13;134;13401;SAN BERNARDO;3;3;2;13; 
2016;CAS-50585-S9D6D0;1;1;20160104;1;1;20160412;8;2;GESTIÓN DE RECURSOS FINANCIEROS;OBLIGACIONES PREVISIONALES Y/O PAGO DE REMUNERACIONES DE PERSONAL DEL ESTABLECIMIENTO;INCUMPLIMIENTO DE OBLIGACIONES PREVISIONALES Y/O PAGO DE REMUNERACIONES DE PERSONAL DEL ESTABLECIMIENTO; ; ; ;6333953;1;2;DOCENTE;6333953;2;18203;ESCUELA ESPECIAL DE LENGUAJE KIMALU;8;81;8107;PENCO;3;3;4;8; 
2016;CAS-50586-D4N3L9;1;1;20160104;1;1;20160408;3;3;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE;160300021; ;160300021;21693292;0;1;APODERADO/A;731553;2;396;INSTITUTO COMERCIAL ALEJANDRO RIVERA DIAZ;3;31;3101;COPIAPÓ;2;1;5;3; 
2016;CAS-50588-H3X5H2;1;1;20160104;1;1;20160209;8;1;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO ENTRE ESTUDIANTES (EXCLUYE AL NIVEL PARVULARIO); ; ; ;23615467;0;2;APODERADO/A;16329708;1;4307;COLEGIO SAN JOSE;8;83;8303;CABRERO;3;3;2;8;0
2016;CAS-50589-P7C5D2;2;1;20160104;1;1;20160114;8;1;CONVIVENCIA;RETENCIÓN DE DOCUMENTOS;RETENCIÓN DE DOCUMENTOS POR DEUDA; ; ; ;7449596;0;2;APODERADO/A;10134803;2;18050;COLEGIO LA FUENTE;8;83;8301;LOS ANGELES;3;3;5;8; 
2016;CAS-50590-K2X3Z1;1;1;20160104;1;1;20160210;8;1;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO ENTRE ESTUDIANTES (EXCLUYE AL NIVEL PARVULARIO); ; ; ;19875740;0;1;OTRO MIEMBRO DE LA COMUNIDAD;12788543;2;4578;ESCUELA DARIO SALAS MARCHANT;8;81;8108;SAN PEDRO DE LA PAZ;2;1;2;8;0
2016;CAS-50593-P5L2Z7;1;1;20160104;1;1;20160112;8;1;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO ENTRE ESTUDIANTES (EXCLUYE AL NIVEL PARVULARIO); ; ; ;15380328;0;2;APODERADO/A;17108272;2;3984;ESCUELA CANTA RANA;8;84;8402;BULNES;2;1;2;8;0
2016;CAS-50596-B4C4Q6;1;1;20160104;1;1;20160505;5;2;GESTIÓN DE RECURSOS FINANCIEROS;COBROS EN ESTABLECIMIENTOS SUBVENCIONADOS O QUE RECIBEN APORTES DEL ESTADO;COBROS ADICIONALES Y/O EXIGENCIAS EN ESPECIES (MATERIALES DE ASEO DE USO GENERAL, DE OFICINA, DISFRAZ, VESTUARIO BAILE, RIFAS, OTRO); ; ; ;2478251;0;2;PADRE/MADRE/TUTOR;23615069;2;14305;CENTRO DE TRATAMIENTO AUTISTA;5;51;5109;VIÑA DEL MAR;3;3;4;5; 
2016;CAS-50598-N5L1Y1;2;1;20160104;1;1;20160105;13;1;CONVIVENCIA;RETENCIÓN DE DOCUMENTOS;RETENCIÓN DE DOCUMENTOS POR DEUDA; ; ; ;9976406;0;2;APODERADO/A;14038389;1;9897;LICEO POLITECNICO PARTICULAR HANNOVER;13;131;13119;MAIPÚ;3;3;7;13; 
