AGNO;DEN_ID;DEN_CANAL;DEN_ESTADO;DEN_FEC_CREACION;DEN_MES_CREACION;DEN_TRIMESTRE_CREACION;DEN_FEC_TERMINO_DENUNCIA;DEN_OFICINA;DEN_DEPARTAMENTO;DEN_AMBITO;DEN_TEMA;DEN_SUBTEMA;FIS_ID;FIS_ID_SEGUIMIENTO;PA_ID;DEN_MRUN;DEN_AFECTADO;DEN_SEXO;DEN_TIPO;AFEC_MRUN;AFEC_SEXO;RBD;RSIE;EE_NOMBRE;EE_COD_REGION;EE_COD_PROVINCIA;EE_COD_COMUNA;EE_NOM_COMUNA;EE_COD_DEPE;EE_DEPE_AGRUP;AFEC_COD_ENSE2;DEN_REGION;DEN_CIBERBULLYING
2017;CAS-70480-Y2M6N2;2;1;20170101;1;1;20170105;7;1;GESTIÓN DE RECURSOS FINANCIEROS;OBLIGACIONES PREVISIONALES Y/O PAGO DE REMUNERACIONES DE PERSONAL DEL ESTABLECIMIENTO;INCUMPLIMIENTO DE OBLIGACIONES PREVISIONALES Y/O PAGO DE REMUNERACIONES DE PERSONAL DEL ESTABLECIMIENTO; ; ; ;13917690;1;2;DOCENTE;13917690;2;3255; ;ESCUELA SANTA BARBARA;7;74;7401;LINARES;2;1;2;7; 
2017;CAS-70481-Q6W8H7;2;1;20170101;1;1;20170103;13;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE; ; ; ;196911;0;2;APODERADO/A;14173291;1;9873; ;ESCUELA BASICA PACTO ANDINO;13;131;13106;ESTACIÓN CENTRAL;2;1;2;13; 
2017;CAS-70483-Q3P5L5;2;1;20170103;1;1;20170404;13;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE; ; ; ;5344853;0;2;APODERADO/A;18301677;1;31437; ;ESCUELA ESPECIAL LUIS SEMBRADOR;13;131;13116;LO ESPEJO;3;3;1;13; 
2017;CAS-70485-J7Z0P5;1;1;20170103;1;1;20170131;5;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE; ; ; ;6678709;0;2;PADRE/MADRE/TUTOR;16176297;2;1515; ;LICEO EDUARDO DE LA BARRA;5;51;5101;VALPARAÍSO;1;1;5;5; 
2017;CAS-70489-X2S5R8;1;1;20170103;1;1;20170104;8;1;ADMISIÓN;PROCESO DE ADMISIÓN;ESTABLECIMIENTO NO PERMITE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE SELECCIONADO EN PROCESO DE ADMISIÓN; ; ; ;13052210;0;1;APODERADO/A;7523759;1;18172; ;COLEGIO AMANECER TALCAHUANO;8;81;8110;TALCAHUANO;3;3;2;8; 
2017;CAS-70490-N9R0H3;1;1;20170103;1;1;20170912;13;3;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO DE ADULTO A PÁRVULO Y/O ESTUDIANTE;171301672; ;171301672;14206723;0;2;APODERADO/A;1202589;1;25386; ;COLEGIO PARTICULAR NOVO MUNDO;13;131;13125;QUILICURA;3;3;2;13; 
2017;CAS-70494-G7V3T1;1;1;20170103;1;1;20170718;13;2;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO DE ADULTO A PÁRVULO Y/O ESTUDIANTE;171302204; ; ;16308817;0;2;APODERADO/A;23434002;1;10408; ;LICEO CORONEL ENRIQUE CABRERA JIMENEZ;13;133;13301;COLINA;1;1;7;13; 
2017;CAS-70495-X4D0V1;1;1;20170103;1;1;20170228;8;1;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO ENTRE ESTUDIANTES (EXCLUYE AL NIVEL PARVULARIO); ; ; ;23006536;0;2;APODERADO/A;9412399;1;4736; ;ESCUELA CORNETA CABRALES;8;81;8110;TALCAHUANO;2;1;2;8;0
2017;CAS-70497-B6D1J1;2;1;20170103;1;1;20170213;13;1;CONVIVENCIA;DISCRIMINACIÓN;DISCRIMINACIÓN POR NECESIDADES EDUCATIVAS ESPECIALES PERMANENTES Y/O TRANSITORIAS (TDA, DISCAPACIDAD FÍSICA Y/O INTELECTUAL, U OTRAS); ; ; ;22121920;0;2;APODERADO/A;7849614;1;8841; ;COLEGIO PARROQ,STA ROSA DE LO BARNECHEA;13;131;13115;LO BARNECHEA;3;3;2;13; 
2017;CAS-70498-V9N4L9;2;1;20170103;1;1;20170821;10;3;GESTIÓN DE RECURSOS FINANCIEROS;OBLIGACIONES PREVISIONALES Y/O PAGO DE REMUNERACIONES DE PERSONAL DEL ESTABLECIMIENTO;INCUMPLIMIENTO DE OBLIGACIONES PREVISIONALES Y/O PAGO DE REMUNERACIONES DE PERSONAL DEL ESTABLECIMIENTO;171000167; ;171000167;10429442;1;1;DOCENTE;10429442;2;7954; ;ESCUELA PARTICULAR N. 233 EL REPIL;10;101;10104;FRESIA;3;3;2;10; 
2017;CAS-70499-R7Z6N2;2;1;20170103;1;1;20170106;5;1;CONVIVENCIA;RETENCIÓN DE DOCUMENTOS;RETENCIÓN DE DOCUMENTOS POR OTRAS CAUSALES; ; ; ;16588423;0;2;APODERADO/A;20527090;1;2050; ;COLEGIO NUESTRA SENORA DE POMPEYA;5;56;5601;SAN ANTONIO;3;3;2;5; 
2017;CAS-70501-Y7R5S3;1;1;20170103;1;1;20170119;1;1;MOBILIARIO, EQUIPAMIENTO, MATERIAL DIDÁCTICO Y ELEMENTOS DE ENSEÑANZA;MOBILIARIO, EQUIPAMIENTO, ELEMENTOS DE ENSEÑANZA Y MATERIAL DIDÁCTICO;ELEMENTOS DE ENSEÑANZA Y/O MATERIAL DIDÁCTICO INSUFICIENTES, INSEGUROS Y/O INSALUBRES (LIBROS, CUBOS, ESPEJOS, TIJERAS, OTROS); ; ; ;19694733;0;2;PADRE/MADRE/TUTOR;20178892;2;12573; ;COLEGIO MARIA REINA;1;11;1101;IQUIQUE;3;3;5;1; 
2017;CAS-70502-X5M4T0;1;1;20170103;1;1;20170213;13;1;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO ENTRE ESTUDIANTES (EXCLUYE AL NIVEL PARVULARIO); ; ; ;20825890;0;2;APODERADO/A;17742996;2;24916; ;ESCUELA BASICA TACORA;13;132;13201;PUENTE ALTO;3;3;2;13;0
2017;CAS-70503-F5Q9Q7;1;1;20170103;1;1;20170104;13;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE; ; ; ;24620857;0;2;APODERADO/A;4664831;1;25885; ;COLEGIO INTERCULTURAL TREMEMN;13;131;13119;MAIPÚ;3;3;2;13; 
2017;CAS-70505-R7X4M7;1;1;20170103;1;1;20170324;8;1;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO ENTRE ESTUDIANTES (EXCLUYE AL NIVEL PARVULARIO); ; ; ;4878009;0;2;TRIBUNALES;19331399;2;4724; ;ESCUELA BASICA LA DAMA BLANCA;8;81;8110;TALCAHUANO;2;1;2;8;0
2017;CAS-70507-N1C1B0;2;1;20170103;1;1;20170222;5;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE; ; ; ;21381015;1;2;APODERADO/A;21381015;2;14324; ;COLEGIO WILLIAM JAMES;5;51;5109;VIÑA DEL MAR;4;4;0;5; 
2017;CAS-70509-R1Z4Y6;1;1;20170103;1;1;20170103;5;1;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO DE ADULTO A PÁRVULO Y/O ESTUDIANTE; ; ; ;3313959;0;2;APODERADO/A;9550437;2;2047; ;COLEGIO PARTICULAR SARA CRUCHAGA;5;56;5601;SAN ANTONIO;3;3;5;5; 
2017;CAS-70510-V5D0V6;2;1;20170103;1;1;20170125;9;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE; ; ; ;24620098;0;2;APODERADO/A;5734297;1;5538; ;ESCUELA GUSTAVO VASQUEZ DIAZ;9;92;9206;LOS SAUCES;2;1;2;9; 
2017;CAS-70515-X8P1L6;1;1;20170103;1;1;20170112;13;1;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO ENTRE ESTUDIANTES (EXCLUYE AL NIVEL PARVULARIO); ; ; ;8316095;0;2;APODERADO/A;14642450;1;8995; ;COLEGIO SANTIAGO COLLEGE;13;131;13115;LO BARNECHEA;4;4;5;13;0
2017;CAS-70516-T3Y2B9;2;1;20170103;1;1;20170104;13;1;CONVIVENCIA;MEDIDAS DISCIPLINARIAS;NO RENOVACIÓN O CANCELACIÓN DE MATRÍCULA A PÁRVULO Y/O ESTUDIANTE; ; ; ;17356171;1;2;APODERADO/A;17356171;2;8636; ;LICEO LEONARDO MURIALDO;13;131;13127;RECOLETA;3;3;2;13; 
2017;CAS-70517-Y9K9F3;2;1;20170103;1;1;20170130;9;1;CONVIVENCIA;DISCRIMINACIÓN;DISCRIMINACIÓN POR NECESIDADES EDUCATIVAS ESPECIALES PERMANENTES Y/O TRANSITORIAS (TDA, DISCAPACIDAD FÍSICA Y/O INTELECTUAL, U OTRAS); ; ; ;7534803;0;1;APODERADO/A;10490219;1;5435; ;COLEGIO SANTA CRUZ DE VICTORIA;9;92;9211;VICTORIA;3;3;5;9; 
2017;CAS-70520-L6Q0C3;2;1;20170103;1;1;20170207;13;1;CONVIVENCIA;INSTANCIAS DE PARTICIPACIÓN DE LA COMUNIDAD EDUCATIVA (CCAA, CCPA, CONSEJOS ESCOLARES, CONSEJO DE PROFESORES, APODERADOS/AS);IRREGULARIDADES EN EL ACCESO A LA INFORMACIÓN Y/O PARTICIPACIÓN DE LOS PADRES Y/O APODERADOS EN EL PROCESO EDUCATIVO DE LOS PÁRVULOS Y/O ESTUDIANTES (REUNIONES, ACTIVIDADES, ENTRE OTRAS INSTANCIAS); ; ; ;9865444;0;1;PADRE/MADRE/TUTOR;3897910;2;9277; ;COLEGIO SAN MARCOS;13;131;13118;MACUL;4;4;2;13; 
