AGNO;DEN_ID;DEN_CANAL;DEN_ESTADO;DEN_FEC_CREACION;DEN_MES_CREACION;DEN_TRIMESTRE_CREACION;DEN_FEC_TERMINO_DENUNCIA;DEN_OFICINA;DEN_DEPARTAMENTO;DEN_AMBITO;DEN_TEMA;DEN_SUBTEMA;FIS_ID;FIS_ID_SEGUIMIENTO;PA_ID;DEN_MRUN;DEN_AFECTADO;DEN_SEXO;DEN_TIPO;AFEC_MRUN;AFEC_SEXO;AFEC_TIPO;RBD;RSIE;EE_NOMBRE;EE_COD_REGION;EE_COD_PROVINCIA;EE_COD_COMUNA;EE_NOM_COMUNA;EE_COD_DEPE;EE_DEPE_AGRUP;AFEC_COD_ENSE2;DEN_REGION;DEN_CIBERBULLYING
2021;CAS-01738-D5Y2P4;2;1;20211028;10;4;20220726;13;3;ENTREGA DEL SERVICIO EDUCATIVO EN EMERGENCIA SANITARIA POR COVID-2019;RESPECTO DE LAS MEDIDAS PARA ATENDER PÁRVULOS Y ESTUDIANTES, PRESENCIAL O A DISTANCIA, EN EMERGENCIA SANITARIA;IRREGULARIDADES EN LA APLICACIÓN DE LOS PROTOCOLOS DURANTE LA EMERGENCIA SANITARIA (PROTOCOLO DE LIMPIEZA Y DESINFECCIÓN, DE MEDIDAS SANITARIAS Y DE ACTUACIÓN FRENTE CASOS DE SOSPECHA O CONFIRMACIÓN DE CONTAGIO DE COVID-19);221300568;221301013;221301013;665526;1;1;DOCENTE;665526;1;DOCENTE;9876;103296;ESCUELA GENERAL SAN MARTIN;13;131;13119;MAIPÚ;1;1;2;13; 
2021;CAS-01739-Y3H1W0;2;1;20211028;10;4;20211108;5;1;GESTIÓN TÉCNICO-PEDAGÓGICA;REGLAMENTO DE EVALUACIÓN, CALIFICACIÓN Y PROMOCIÓN;IRREGULARIDADES EN EL PROCEDIMIENTO DE PROMOCIÓN DE LOS ESTUDIANTES Y/O TRANSICIÓN EDUCATIVA DE LOS PÁRVULOS; ; ; ;6844403;0;1;APODERADO(A) / PADRE O MADRE / TUTOR(A);14216922;1;ESTUDIANTE;14363;104518;COLEGIO HISPANO;5;58;5804;VILLA ALEMANA;3;3;5;5; 
2021;CAS-01745-D4R9V5;2;1;20211028;10;4;20211103;13;1;ENTREGA DEL SERVICIO EDUCATIVO EN EMERGENCIA SANITARIA POR COVID-2019;RESPECTO DE LAS MEDIDAS PARA ATENDER PÁRVULOS Y ESTUDIANTES, PRESENCIAL O A DISTANCIA, EN EMERGENCIA SANITARIA;IRREGULARIDADES EN LA APLICACIÓN DE LOS PROTOCOLOS DURANTE LA EMERGENCIA SANITARIA (PROTOCOLO DE LIMPIEZA Y DESINFECCIÓN, DE MEDIDAS SANITARIAS Y DE ACTUACIÓN FRENTE CASOS DE SOSPECHA O CONFIRMACIÓN DE CONTAGIO DE COVID-19); ; ; ;11743673;1;1;DOCENTE;11743673;1;DOCENTE;9876;103296;ESCUELA GENERAL SAN MARTIN;13;131;13119;MAIPÚ;1;1;0;13; 
2021;CAS-01746-K2G6P2;4;1;20211028;10;4;20211207;13;1;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO DE ADULTO A PÁRVULO Y/O ESTUDIANTE; ; ; ; ;0;0;AUTORIDAD PÚBLICA;1787434;2;ESTUDIANTE;10685;103705;COLEGIO PART. MARIA ANA MOGAS;13;134;13404;PAINE;3;3;2;13; 
2021;CAS-01747-F7Z8V5;1;1;20211028;10;4;20220315;15;3;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO DE ADULTO A PÁRVULO Y/O ESTUDIANTE;211500366;211500382;211500382;17167092;0;1;ENCARGADO DE CONVIVENCIA ESCOLAR;12777659;1;ESTUDIANTE;78;100040;LICEO GRANADEROS;15;152;15201;PUTRE;6;2;2;15; 
2021;CAS-01748-P5H2C0;4;1;20211028;10;4;20211115;8;1;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO ENTRE ESTUDIANTES (EXCLUYE AL NIVEL PARVULARIO); ; ; ;26247924;0;0;AUTORIDAD PÚBLICA;19170809;1;ESTUDIANTE;4713;101837;ESCUELA THOMAS JEFFERSON D 465;8;81;8112;HUALPÉN;2;1;2;8;0
2021;CAS-01750-N0G2W2;1;1;20211028;10;4;20220217;5;3;CONVIVENCIA;MALTRATO A PÁRVULOS Y/O ESTUDIANTES;MALTRATO DE ADULTO A PÁRVULO Y/O ESTUDIANTE;210501826;210501910;210501910;25846131;0;0;AUTORIDAD PÚBLICA;26011291;1;ESTUDIANTE;14542;104579;CENTR.ESC.TRAT.DEL LENGUAJE PAIHUEN;5;56;5601;SAN ANTONIO;3;3;1;5; 
2021;CAS-01751-L4T9C5;1;1;20211028;10;4;20220223;13;3;ADMISIÓN;PROCESO DE ADMISIÓN;ESTABLECIMIENTO REALIZA PROCESO DE ADMISIÓN DISCRIMINATORIO A ESTUDIANTE O PÁRVULO;211304983; ;211304983;9267710;0;1;APODERADO(A) / PADRE O MADRE / TUTOR(A);25881484;2;ESTUDIANTE;25725; ;ESCUELA PART. NAHUEL;13;134;13404;PAINE;3;3;2;13; 
2021;CAS-01752-Z2Z5M3;1;1;20211028;10;4;20220314;16;3;CONVIVENCIA;MALTRATO A MIEMBROS ADULTOS DE LA COMUNIDAD EDUCATIVA;MALTRATO DE PERSONAL DEL ESTABLECIMIENTO A PADRE, MADRE Y/O APODERADO;211600494;221600032;221600032;9996724;1;1;APODERADO(A) / PADRE O MADRE / TUTOR(A);9996724;2;APODERADO(A) / PADRE O MADRE / TUTOR(A);3856;101566;ESCUELA MANUEL MATUS HERMOSILLA;16;163;16302;COIHUECO;2;1;0;16; 
2021;CAS-01753-H9S3X0;1;1;20211028;10;4;20211108;13;1;GESTIÓN DE RECURSOS FINANCIEROS;COBROS EN ESTABLECIMIENTOS SUBVENCIONADOS O QUE RECIBEN APORTES DEL ESTADO;IRREGULARIDADES EN EL COBRO DE MENSUALIDADES Y/O COLEGIATURA; ; ; ;4734898;0;1;APODERADO(A) / PADRE O MADRE / TUTOR(A);21890597;2;ESTUDIANTE;26001;106910;COLEGIO ALICANTE DE LA FLORIDA;13;131;13110;LA FLORIDA;3;3;5;13; 
